T1w_fwhm_avg
T1w_fwhm_x
T1w_fwhm_y
T1w_fwhm_z
T1w_spacing_x
T1w_spacing_y
T1w_spacing_z
T1w_snr_total
T1w_snr_gm
T1w_snr_wm
T1w_snr_csf
T1w_snrd_total
T1w_snrd_gm
T1w_snrd_wm
T1w_snrd_csf
T1w_qi_1
T1w_cnr
T1w_cjv
T1w_efc
