volume,qc,stage,p_batch,p_proxy,passed,fit_family,fit_method,p_preserve_age,p_reverse_age
T1_SIENAX_peripheral_GM_norm_vol,QC1,additive,1.30118895758925e-14,0.0104501745892188,0,,,0.0665856084228656,0.999955491793486
T1_SIENAX_peripheral_GM_norm_vol,QC2,additive,2.70161339925585e-54,0.2903475691095,1,,,0.890419125434635,0.999994214251584
T1_SIENAX_peripheral_GM_norm_vol,QC3,additive,7.56620854736876e-49,0.00849754846946888,0,,,0.0990136233564894,0.99998772565957
T1_SIENAX_peripheral_GM_norm_vol,QC4,additive,2.53639171212479e-05,0.912096868442128,0,,,0.00256292130488357,0.999961266095888
T1_SIENAX_peripheral_GM_norm_vol,QC5,additive,2.43632228442758e-29,0.589715788442361,1,,,0.317277887913935,0.999976408240709
T1_SIENAX_peripheral_GM_norm_vol,QC6,additive,0.00122948954005943,0.29656520010665,1,,,0.851779526747385,0.999993975559647
T1_SIENAX_peripheral_GM_norm_vol,QC7,additive,0.0175068176581226,0.0577321418494908,0,,,0.0250610535357262,0.999994950518247
T1_SIENAX_CSF_norm_vol,QC1,additive,5.5305913200142e-09,0.192990523755552,1,,,0.543106469614171,0.999985309498573
T1_SIENAX_CSF_norm_vol,QC2,additive,2.10145586089196e-47,0.559526935410857,1,,,0.511630414475132,0.999987297994588
T1_SIENAX_CSF_norm_vol,QC3,additive,9.32401375362188e-49,0.0884997213573411,1,,,0.436768357659408,0.999986695264201
T1_SIENAX_CSF_norm_vol,QC4,additive,4.08788028727741e-05,0.668872098765484,0,,,0.000147502064550143,0.999958472144465
T1_SIENAX_CSF_norm_vol,QC5,additive,6.07635598609637e-33,0.0510195861588021,1,,,0.113624159549636,0.999914932099066
T1_SIENAX_CSF_norm_vol,QC6,additive,0.00100253563798897,0.270044430231031,1,,,0.672877613346311,0.999993048708488
T1_SIENAX_CSF_norm_vol,QC7,additive,0.0135703017445742,0.137705597677457,1,,,0.0779904356836244,0.999922182915303
T1_SIENAX_GM_norm_vol,QC1,additive,1.53431016370292e-14,0.0161953575181442,0,,,0.0928114799040348,0.999978399522655
T1_SIENAX_GM_norm_vol,QC2,additive,1.04227796857031e-58,0.0198900675936976,0,,,0.540733425660318,0.999986366539377
T1_SIENAX_GM_norm_vol,QC3,additive,2.4031864351038e-49,0.000941628162401584,0,,,0.0516134596839132,0.99999224890508
T1_SIENAX_GM_norm_vol,QC4,additive,2.29834333622927e-05,0.505853541225886,0,,,0.000613252405394151,0.99997497883708
T1_SIENAX_GM_norm_vol,QC5,additive,1.65147688514335e-28,0.12979382699876,1,,,0.994701326340198,0.999999331962133
T1_SIENAX_GM_norm_vol,QC6,additive,0.000487344761564688,0.123428370886423,1,,,0.983471649476853,0.999995104731469
T1_SIENAX_GM_norm_vol,QC7,additive,0.0136987800738542,0.379565917490981,1,,,0.124399467746085,0.999993396405532
T1_SIENAX_WM_norm_vol,QC1,additive,1.54258834163476e-12,0.450001748043456,1,,,0.270746853072724,0.999977099282708
T1_SIENAX_WM_norm_vol,QC2,additive,6.22205432848016e-53,0.740561361667369,1,,,0.654061423098415,0.999996683886769
T1_SIENAX_WM_norm_vol,QC3,additive,7.86512043337507e-45,0.440318464064364,1,,,0.974408855962919,0.999999145424394
T1_SIENAX_WM_norm_vol,QC4,additive,1.60894709338046e-05,0.0659286271977179,0,,,0.000108784506717515,0.999996381610604
T1_SIENAX_WM_norm_vol,QC5,additive,5.66901319297031e-34,4.79242296957793e-05,0,,,0.590824093881642,0.999995111096604
T1_SIENAX_WM_norm_vol,QC6,additive,0.000463264424065306,0.952701579718859,1,,,0.331551625829237,0.999988115442413
T1_SIENAX_WM_norm_vol,QC7,additive,0.000302709059539034,0.000324720327708864,0,,,0.331301514240465,0.999996476367594
T1_SIENAX_brain_norm_vol,QC1,additive,3.12706508191474e-14,0.0420999453477084,0,,,0.152684579690427,0.999969807931802
T1_SIENAX_brain_norm_vol,QC2,additive,4.00443462864142e-57,0.168431622753384,1,,,0.973756117314781,0.999999237843622
T1_SIENAX_brain_norm_vol,QC3,additive,1.84755860203328e-48,0.00205321797159313,0,,,0.173158313831656,0.999994884915338
T1_SIENAX_brain_norm_vol,QC4,additive,4.68803644321313e-05,0.135650030602265,0,,,2.67543867621498e-05,0.999993154319876
T1_SIENAX_brain_norm_vol,QC5,additive,1.60511181805602e-32,0.265834465060744,1,,,0.254239582906305,0.999987335739981
T1_SIENAX_brain_norm_vol,QC6,additive,0.000262733253777017,0.305420270491849,1,,,0.589125709932119,0.999998095545351
