volume,qc,stage,p_batch,p_proxy,passed,fit_family,fit_method,p_preserve_age,p_reverse_age
T1_SIENAX_peripheral_GM_norm_vol,QC1,multiplicative,9.93573445699511e-15,0.00661534772202193,0,,,0.227008952307832,0.999970854107347
T1_SIENAX_peripheral_GM_norm_vol,QC2,multiplicative,1.44822291258925e-57,0.800216734371649,1,,,0.635058458183647,0.999997445371766
T1_SIENAX_peripheral_GM_norm_vol,QC3,multiplicative,5.53430100968826e-47,0.187257362394195,1,,,0.907060161176773,0.999999078854221
T1_SIENAX_peripheral_GM_norm_vol,QC4,multiplicative,6.0101208391947e-06,0.0301392828618896,0,,,1.36798427301789e-05,0.999986752902314
T1_SIENAX_peripheral_GM_norm_vol,QC5,multiplicative,5.92873094649628e-32,0.474188605989009,1,,,0.380834295148052,0.999982450879354
T1_SIENAX_peripheral_GM_norm_vol,QC6,multiplicative,0.000278413173285047,0.470028724882493,1,,,0.358556390878487,0.999980963123552
T1_SIENAX_peripheral_GM_norm_vol,QC7,multiplicative,0.00957219908199261,0.621965786970784,1,,,0.207927776826183,0.999992716490108
T1_SIENAX_CSF_norm_vol,QC1,multiplicative,2.32076988762887e-14,0.0183046272023874,0,,,0.262456471985876,0.999986731844381
T1_SIENAX_CSF_norm_vol,QC2,multiplicative,1.09174204870914e-57,0.597365975618539,1,,,0.64643729977914,0.99999708335773
T1_SIENAX_CSF_norm_vol,QC3,multiplicative,5.30345459118268e-43,0.0982446995879771,1,,,0.9962303113209,0.999999962231591
T1_SIENAX_CSF_norm_vol,QC4,multiplicative,0.000136502998877251,0.0169849834117611,0,,,0.000995553245932952,0.999981209054515
T1_SIENAX_CSF_norm_vol,QC5,multiplicative,7.7029724369002e-32,0.921271749175466,1,,,0.40113916598807,0.999998352126822
T1_SIENAX_CSF_norm_vol,QC6,multiplicative,0.000258582770490596,0.377124093917342,1,,,0.326148943691564,0.999992505668936
T1_SIENAX_CSF_norm_vol,QC7,multiplicative,0.00942343657684478,0.525341597442191,1,,,0.212598122061293,0.999991131512966
T1_SIENAX_GM_norm_vol,QC1,multiplicative,2.61646965944918e-13,0.985805648969649,1,,,0.26170899191263,0.999979959131902
T1_SIENAX_GM_norm_vol,QC2,multiplicative,2.24602420976567e-57,0.588576019166156,1,,,0.66488851102263,0.999996541833476
T1_SIENAX_GM_norm_vol,QC3,multiplicative,2.05822330759422e-48,0.67211523016351,1,,,0.955875748115422,0.999999781844053
T1_SIENAX_GM_norm_vol,QC4,multiplicative,1.21524464901458e-05,0.956272019941714,0,,,7.65022882885956e-05,0.99996940409777
T1_SIENAX_GM_norm_vol,QC5,multiplicative,9.48452868746908e-32,0.342989611002911,1,,,0.36980434840401,0.999986237539163
T1_SIENAX_GM_norm_vol,QC6,multiplicative,0.000454539337961395,0.937897674426058,1,,,0.337471406314518,0.999987000693208
T1_SIENAX_GM_norm_vol,QC7,multiplicative,0.00507305711805695,0.204587210899089,1,,,0.175075240596979,0.999988136510911
T1_SIENAX_WM_norm_vol,QC1,multiplicative,4.07299643192581e-13,0.128965602502171,1,,,0.245607370285636,0.999980953870316
T1_SIENAX_WM_norm_vol,QC2,multiplicative,1.33327568230444e-57,0.149877982227093,1,,,0.677147057180922,0.999991813843839
T1_SIENAX_WM_norm_vol,QC3,multiplicative,4.70427902651508e-48,0.914295345349313,1,,,0.978858360830228,0.999999879731833
T1_SIENAX_WM_norm_vol,QC4,multiplicative,1.16497342926742e-05,0.202198487627984,0,,,3.55897855846906e-05,0.999968501980981
T1_SIENAX_WM_norm_vol,QC5,multiplicative,7.06549136785475e-33,0.139161709401144,1,,,0.391589736256676,0.999989431437636
T1_SIENAX_WM_norm_vol,QC6,multiplicative,0.000656121037965792,0.97934501414305,1,,,0.334218260467415,0.999983444734312
T1_SIENAX_WM_norm_vol,QC7,multiplicative,0.0015138694588938,0.0265220308585619,0,,,0.152186646396963,0.99999706122095
T1_SIENAX_brain_norm_vol,QC1,multiplicative,2.61111348967227e-13,0.783021733483043,1,,,0.263954714234411,0.999989026695803
T1_SIENAX_brain_norm_vol,QC2,multiplicative,3.01311674901138e-57,0.670134077729414,1,,,0.63177596061862,0.999997680791091
T1_SIENAX_brain_norm_vol,QC3,multiplicative,9.35604995797811e-49,0.472244734644493,1,,,0.992168689186053,0.999999664880721
T1_SIENAX_brain_norm_vol,QC4,multiplicative,1.61659169225017e-05,0.1583633119229,0,,,8.73105272511231e-05,0.999994093092697
T1_SIENAX_brain_norm_vol,QC5,multiplicative,4.16972729093687e-32,0.847799612786459,1,,,0.404443223888885,0.999990123663122
T1_SIENAX_brain_norm_vol,QC6,multiplicative,0.000626862998620586,0.0936853633171949,1,,,0.284102065743608,0.999996526344285
T1_SIENAX_brain_norm_vol,QC7,multiplicative,0.0149116457932439,0.216619614743229,1,,,0.25746934312446,0.999993309621202
T1_FIRST_left_hippocampus,QC1,multiplicative,4.89328679013087e-13,0.465703384670577,1,,,0.265397968526672,0.999989919334883
T1_FIRST_left_hippocampus,QC2,multiplicative,1.22461288745925e-57,0.565709307329897,1,,,0.645831310864987,0.999991333997698
T1_FIRST_left_hippocampus,QC3,multiplicative,2.42823658811715e-48,0.358995559475152,1,,,0.988912162661011,0.999999862421817
T1_FIRST_left_hippocampus,QC4,multiplicative,9.87350948117493e-06,0.207957108057314,0,,,6.0580569255946e-05,0.999979667229247
T1_FIRST_left_hippocampus,QC5,multiplicative,1.02912588914511e-31,0.0688800966443358,1,,,0.406593894176786,0.999996053488066
T1_FIRST_left_hippocampus,QC6,multiplicative,0.00035812638981322,0.800422403682772,1,,,0.330014355656614,0.999987534661717
T1_FIRST_left_hippocampus,QC7,multiplicative,0.0102380739109962,0.403827113106845,1,,,0.232412941926291,0.999989995653092
T1_FIRST_right_hippocampus,QC1,multiplicative,2.25920100899176e-13,0.673450753004025,1,,,0.263335798630184,0.999977895899884
T1_FIRST_right_hippocampus,QC2,multiplicative,2.65277912073574e-57,0.271095486034972,1,,,0.656905092609705,0.99999689149049
T1_FIRST_right_hippocampus,QC3,multiplicative,1.35145286249278e-48,0.648496820545198,1,,,0.993327020076313,0.999999956917594
T1_FIRST_right_hippocampus,QC4,multiplicative,1.35301845523304e-05,0.18092486219786,0,,,7.19338812140768e-05,0.999992722079286
T1_FIRST_right_hippocampus,QC5,multiplicative,6.60697448904137e-32,0.470096612421928,1,,,0.392638172666426,0.999990456629997
T1_FIRST_right_hippocampus,QC6,multiplicative,0.000342918731195725,0.888113593953293,1,,,0.336199523558998,0.999991756045216
T1_FIRST_right_hippocampus,QC7,multiplicative,0.00918327706252237,0.541006180508127,1,,,0.217453282416242,0.999987794278893
