,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,feature
normalized_site_offset_intercept_mu_zerosum__[14],0.928,0.248,0.498,1.399,0.005,0.003,2067.0,3420.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[15],1.012,0.332,0.433,1.65,0.006,0.004,3669.0,4151.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[16],0.493,0.299,-0.046,1.078,0.004,0.005,6525.0,4066.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[17],0.087,0.132,-0.15,0.344,0.002,0.002,6543.0,4232.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[18],-0.002,0.255,-0.504,0.467,0.003,0.004,9263.0,4535.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[19],1.373,0.371,0.685,2.062,0.007,0.005,2909.0,3923.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[20],0.119,0.212,-0.28,0.517,0.002,0.003,9440.0,4263.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[21],-0.122,0.161,-0.41,0.197,0.002,0.002,7616.0,4396.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[22],-0.787,0.284,-1.32,-0.284,0.005,0.004,3361.0,3626.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu_zerosum__[23],-0.268,0.299,-0.812,0.298,0.003,0.005,8100.0,4712.0,1.0,lh_G_and_S_transv_frontopol
sex_sigma_intercept_mu,2.755,1.033,0.809,4.667,0.012,0.014,7206.0,3862.0,1.0,lh_G_and_S_transv_frontopol
normalized_sex_offset_intercept_mu_zerosum__[0],-0.026,0.016,-0.056,0.004,0.0,0.0,5946.0,4175.0,1.0,lh_G_and_S_transv_frontopol
slope_sigma[sigma_covariates_0],0.199,0.364,-0.517,0.854,0.008,0.005,1984.0,2927.0,1.0,lh_G_and_S_transv_frontopol
slope_sigma[sigma_covariates_1],-1.399,1.527,-4.444,1.29,0.026,0.016,3378.0,4326.0,1.0,lh_G_and_S_transv_frontopol
slope_sigma[sigma_covariates_2],0.148,1.285,-2.204,2.603,0.034,0.021,1449.0,2405.0,1.0,lh_G_and_S_transv_frontopol
slope_sigma[sigma_covariates_3],-0.842,0.946,-2.673,0.864,0.024,0.015,1498.0,2226.0,1.0,lh_G_and_S_transv_frontopol
slope_sigma[sigma_covariates_4],-1.362,0.916,-3.121,0.32,0.021,0.013,1865.0,2425.0,1.0,lh_G_and_S_transv_frontopol
slope_sigma[sigma_covariates_5],-0.902,1.267,-3.154,1.601,0.023,0.016,2928.0,3648.0,1.0,lh_G_and_S_transv_frontopol
slope_sigma[sigma_covariates_6],0.442,1.641,-2.808,3.317,0.03,0.02,3064.0,4152.0,1.0,lh_G_and_S_transv_frontopol
slope_sigma[sigma_covariates_7],0.087,1.939,-3.582,3.688,0.021,0.025,8575.0,4885.0,1.0,lh_G_and_S_transv_frontopol
intercept_sigma,-0.558,0.863,-2.134,1.098,0.024,0.015,1281.0,1932.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Pittsburgh],-1.766,0.605,-2.91,-0.633,0.007,0.008,7907.0,4685.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Oxford],-0.375,0.268,-0.903,0.112,0.003,0.004,6189.0,4217.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Newark],0.611,0.293,0.031,1.131,0.004,0.004,5655.0,4119.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Leiden_2180],-0.187,0.35,-0.836,0.485,0.004,0.005,9723.0,4467.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[SaintLouis],0.278,0.235,-0.159,0.728,0.003,0.004,6896.0,4311.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Munchen],0.026,0.44,-0.833,0.817,0.005,0.007,7791.0,4375.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Beijing_Zang],0.129,0.124,-0.091,0.378,0.001,0.002,7435.0,5156.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Cleveland],-0.461,0.247,-0.932,-0.011,0.003,0.004,5799.0,4125.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[AnnArbor_b],0.468,0.28,-0.042,1.012,0.003,0.004,6935.0,4553.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Berlin_Margulies],-0.183,0.241,-0.648,0.274,0.003,0.004,8080.0,4185.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Oulu],0.065,0.149,-0.222,0.347,0.002,0.002,8094.0,4606.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Baltimore],-1.288,0.35,-1.951,-0.674,0.007,0.005,2440.0,3511.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[ds003568-1.0.4],0.152,0.319,-0.433,0.774,0.003,0.005,8966.0,4131.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Milwaukee_b],0.008,0.233,-0.436,0.443,0.003,0.004,7890.0,4624.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[ICBM],0.909,0.237,0.494,1.361,0.005,0.003,2032.0,3163.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[PaloAlto],0.992,0.323,0.437,1.616,0.005,0.004,3799.0,4375.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Leiden_2200],0.473,0.294,-0.089,1.02,0.004,0.005,6960.0,3880.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Cambridge_Buckner],0.068,0.125,-0.166,0.305,0.001,0.002,7381.0,4299.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[NewYork_a_ADHD],-0.021,0.25,-0.502,0.445,0.003,0.004,9410.0,4038.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Queensland],1.353,0.362,0.716,2.064,0.007,0.005,2916.0,3890.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[ds003653-1.0.0],0.099,0.204,-0.304,0.47,0.002,0.003,9935.0,4735.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[NewYork_a],-0.142,0.157,-0.432,0.151,0.002,0.002,7405.0,4365.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Atlanta],-0.807,0.282,-1.339,-0.306,0.005,0.004,3162.0,3637.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[Bangor],-0.287,0.296,-0.827,0.273,0.003,0.005,7820.0,4366.0,1.0,lh_G_and_S_transv_frontopol
normalized_site_offset_intercept_mu[AnnArbor_a],-0.117,0.289,-0.645,0.459,0.003,0.004,7477.0,4860.0,1.0,lh_G_and_S_transv_frontopol
normalized_sex_offset_intercept_mu[M],-0.019,0.011,-0.04,0.003,0.0,0.0,5946.0,4175.0,1.0,lh_G_and_S_transv_frontopol
normalized_sex_offset_intercept_mu[F],0.019,0.011,-0.003,0.04,0.0,0.0,5946.0,4175.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[0],-1.357,0.491,-2.28,-0.452,0.007,0.006,5022.0,4348.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[1],-0.279,0.189,-0.643,0.068,0.002,0.002,8415.0,4800.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[2],0.461,0.208,0.09,0.874,0.002,0.003,8472.0,4253.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[3],-0.139,0.256,-0.628,0.332,0.003,0.003,9668.0,4248.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[4],0.209,0.17,-0.103,0.528,0.002,0.002,8578.0,4411.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[5],0.023,0.327,-0.573,0.662,0.004,0.004,7590.0,4777.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[6],0.098,0.091,-0.065,0.276,0.001,0.001,7849.0,5344.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[7],-0.345,0.169,-0.673,-0.042,0.002,0.002,8779.0,4834.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[8],0.353,0.2,-0.024,0.732,0.002,0.003,9125.0,5173.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[9],-0.137,0.175,-0.457,0.198,0.002,0.002,8793.0,4468.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[10],0.05,0.109,-0.147,0.265,0.001,0.001,7793.0,5060.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[11],-0.965,0.193,-1.334,-0.604,0.002,0.003,7900.0,3941.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[12],0.116,0.236,-0.318,0.562,0.003,0.003,8595.0,5216.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[13],0.008,0.172,-0.323,0.322,0.002,0.002,7697.0,4715.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[14],0.679,0.119,0.46,0.904,0.001,0.001,7674.0,4601.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[15],0.746,0.206,0.369,1.134,0.002,0.003,7778.0,4314.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[16],0.357,0.211,-0.021,0.766,0.002,0.003,8835.0,4103.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[17],0.052,0.091,-0.12,0.22,0.001,0.001,7259.0,5129.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[18],-0.015,0.182,-0.359,0.326,0.002,0.002,9407.0,4822.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[19],1.017,0.212,0.611,1.407,0.003,0.003,6914.0,4502.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[20],0.076,0.151,-0.206,0.367,0.002,0.002,10023.0,4928.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[21],-0.105,0.112,-0.316,0.1,0.001,0.001,8708.0,4787.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[22],-0.604,0.174,-0.935,-0.286,0.002,0.002,8430.0,4197.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[23],-0.214,0.214,-0.598,0.19,0.002,0.003,9988.0,4757.0,1.0,lh_G_and_S_transv_frontopol
site_offset_intercept_mu[24],-0.086,0.211,-0.489,0.3,0.002,0.002,8047.0,5222.0,1.0,lh_G_and_S_transv_frontopol
sex_offset_intercept_mu[0],-0.057,0.03,-0.116,-0.002,0.0,0.0,7498.0,5016.0,1.0,lh_G_and_S_transv_frontopol
sex_offset_intercept_mu[1],0.057,0.03,0.002,0.116,0.0,0.0,7498.0,5016.0,1.0,lh_G_and_S_transv_frontopol
slope_mu[mu_covariates_0],-0.572,0.326,-1.192,0.046,0.008,0.006,1531.0,2018.0,1.0,lh_G_and_S_frontomargin
slope_mu[mu_covariates_1],2.009,1.24,-0.242,4.384,0.027,0.014,2073.0,3543.0,1.0,lh_G_and_S_frontomargin
slope_mu[mu_covariates_2],-0.313,0.96,-2.176,1.413,0.029,0.016,1075.0,1871.0,1.0,lh_G_and_S_frontomargin
slope_mu[mu_covariates_3],-1.093,0.707,-2.416,0.234,0.021,0.012,1110.0,1839.0,1.0,lh_G_and_S_frontomargin
slope_mu[mu_covariates_4],0.495,0.703,-0.865,1.757,0.018,0.011,1466.0,2438.0,1.0,lh_G_and_S_frontomargin
slope_mu[mu_covariates_5],0.268,1.043,-1.71,2.225,0.023,0.017,2015.0,2442.0,1.0,lh_G_and_S_frontomargin
slope_mu[mu_covariates_6],0.974,1.475,-1.827,3.712,0.031,0.023,2207.0,2855.0,1.0,lh_G_and_S_frontomargin
slope_mu[mu_covariates_7],-0.8,1.719,-4.089,2.396,0.025,0.021,4742.0,4597.0,1.0,lh_G_and_S_frontomargin
mu_intercept_mu,0.391,0.651,-0.845,1.579,0.021,0.012,995.0,1569.0,1.0,lh_G_and_S_frontomargin
site_sigma_intercept_mu,-1.363,0.491,-2.297,-0.474,0.015,0.008,1130.0,2086.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[0],-0.969,0.564,-2.052,0.09,0.006,0.008,8220.0,4476.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[1],-0.994,0.299,-1.578,-0.471,0.005,0.004,3087.0,3827.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[2],0.567,0.291,0.045,1.131,0.004,0.004,6034.0,3963.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[3],0.277,0.331,-0.357,0.897,0.003,0.005,9197.0,4509.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[4],0.276,0.223,-0.134,0.708,0.003,0.004,6684.0,4206.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[5],0.574,0.409,-0.177,1.373,0.005,0.006,7142.0,4076.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[6],-0.017,0.121,-0.236,0.231,0.002,0.002,6496.0,4462.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[7],-0.217,0.232,-0.668,0.209,0.003,0.004,7022.0,3850.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[8],0.578,0.269,0.09,1.095,0.004,0.004,4930.0,4223.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[9],-0.066,0.241,-0.514,0.393,0.002,0.004,9616.0,4328.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[10],0.074,0.147,-0.211,0.345,0.002,0.002,7902.0,4628.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[11],-1.0,0.307,-1.597,-0.444,0.006,0.004,2818.0,3583.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[12],0.254,0.318,-0.31,0.893,0.004,0.005,8021.0,4528.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[13],0.071,0.224,-0.356,0.485,0.003,0.003,6872.0,4436.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[14],1.722,0.351,1.064,2.381,0.01,0.005,1341.0,2609.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[15],1.204,0.34,0.566,1.809,0.007,0.004,2812.0,3508.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[16],0.652,0.282,0.137,1.19,0.004,0.004,4840.0,3973.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[17],-0.135,0.124,-0.383,0.086,0.002,0.002,5217.0,4183.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[18],-0.264,0.237,-0.72,0.176,0.003,0.003,7931.0,4468.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[19],0.951,0.316,0.391,1.546,0.005,0.004,3464.0,4075.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[20],0.641,0.226,0.249,1.085,0.004,0.003,3452.0,4455.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[21],-0.267,0.158,-0.547,0.047,0.002,0.002,5198.0,4300.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[22],-0.734,0.26,-1.218,-0.27,0.005,0.004,3383.0,3785.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu_zerosum__[23],-0.299,0.27,-0.797,0.222,0.003,0.004,7891.0,4184.0,1.0,lh_G_and_S_frontomargin
sex_sigma_intercept_mu,2.761,1.017,0.91,4.696,0.012,0.013,7749.0,4826.0,1.0,lh_G_and_S_frontomargin
normalized_sex_offset_intercept_mu_zerosum__[0],-0.004,0.015,-0.032,0.024,0.0,0.0,5650.0,4126.0,1.0,lh_G_and_S_frontomargin
slope_sigma[sigma_covariates_0],-0.064,0.363,-0.747,0.631,0.008,0.006,2046.0,2651.0,1.0,lh_G_and_S_frontomargin
slope_sigma[sigma_covariates_1],-0.076,1.496,-2.889,2.678,0.025,0.016,3453.0,4487.0,1.0,lh_G_and_S_frontomargin
slope_sigma[sigma_covariates_2],-0.912,1.26,-3.248,1.497,0.032,0.019,1586.0,2460.0,1.0,lh_G_and_S_frontomargin
slope_sigma[sigma_covariates_3],-0.916,0.936,-2.572,1.009,0.023,0.014,1707.0,2530.0,1.0,lh_G_and_S_frontomargin
slope_sigma[sigma_covariates_4],-1.406,0.919,-3.119,0.298,0.02,0.011,2196.0,3607.0,1.0,lh_G_and_S_frontomargin
slope_sigma[sigma_covariates_5],-0.09,1.279,-2.374,2.339,0.022,0.016,3245.0,3996.0,1.0,lh_G_and_S_frontomargin
slope_sigma[sigma_covariates_6],0.33,1.648,-2.971,3.221,0.029,0.019,3319.0,4550.0,1.0,lh_G_and_S_frontomargin
slope_sigma[sigma_covariates_7],-0.172,1.954,-3.984,3.422,0.021,0.024,8340.0,5007.0,1.0,lh_G_and_S_frontomargin
intercept_sigma,-0.3,0.849,-1.955,1.265,0.022,0.014,1465.0,2222.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Pittsburgh],-1.065,0.559,-2.102,0.015,0.006,0.008,7805.0,4447.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Oxford],-1.09,0.303,-1.659,-0.542,0.006,0.004,2697.0,3879.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Newark],0.471,0.281,-0.063,0.988,0.003,0.004,7437.0,4082.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Leiden_2180],0.181,0.324,-0.426,0.795,0.003,0.005,9707.0,4497.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[SaintLouis],0.18,0.214,-0.215,0.583,0.002,0.004,7757.0,3999.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Munchen],0.478,0.4,-0.218,1.283,0.005,0.006,7499.0,4165.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Beijing_Zang],-0.113,0.117,-0.337,0.106,0.002,0.002,6116.0,4251.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Cleveland],-0.313,0.23,-0.762,0.1,0.003,0.003,6237.0,3648.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[AnnArbor_b],0.482,0.258,0.016,0.973,0.003,0.004,5681.0,4412.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Berlin_Margulies],-0.162,0.237,-0.603,0.293,0.002,0.004,9496.0,4144.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Oulu],-0.022,0.142,-0.3,0.238,0.002,0.002,8102.0,4456.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Baltimore],-1.096,0.311,-1.684,-0.521,0.006,0.004,2502.0,3549.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[ds003568-1.0.4],0.158,0.315,-0.421,0.771,0.003,0.005,8076.0,4510.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Milwaukee_b],-0.025,0.219,-0.454,0.373,0.003,0.003,6832.0,4372.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[ICBM],1.626,0.333,1.025,2.266,0.009,0.004,1365.0,2842.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[PaloAlto],1.108,0.325,0.534,1.727,0.006,0.004,3046.0,3560.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Leiden_2200],0.556,0.273,0.001,1.034,0.004,0.004,5665.0,3926.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Cambridge_Buckner],-0.23,0.123,-0.477,-0.012,0.002,0.002,4178.0,4072.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[NewYork_a_ADHD],-0.36,0.235,-0.805,0.071,0.003,0.003,6851.0,4412.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Queensland],0.855,0.302,0.309,1.419,0.005,0.004,3831.0,4037.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[ds003653-1.0.0],0.545,0.212,0.171,0.96,0.003,0.003,3971.0,4376.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[NewYork_a],-0.363,0.16,-0.661,-0.067,0.003,0.002,4086.0,3508.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Atlanta],-0.83,0.264,-1.299,-0.34,0.005,0.004,2844.0,4149.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[Bangor],-0.395,0.268,-0.903,0.101,0.003,0.004,6687.0,4137.0,1.0,lh_G_and_S_frontomargin
normalized_site_offset_intercept_mu[AnnArbor_a],-0.576,0.282,-1.117,-0.043,0.004,0.004,4477.0,4324.0,1.0,lh_G_and_S_frontomargin
normalized_sex_offset_intercept_mu[M],-0.003,0.01,-0.022,0.017,0.0,0.0,5650.0,4126.0,1.0,lh_G_and_S_frontomargin
normalized_sex_offset_intercept_mu[F],0.003,0.01,-0.017,0.022,0.0,0.0,5650.0,4126.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[0],-0.873,0.46,-1.728,0.009,0.006,0.006,6463.0,4400.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[1],-0.876,0.189,-1.229,-0.519,0.002,0.003,8108.0,4236.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[2],0.379,0.215,-0.014,0.788,0.002,0.003,10191.0,4414.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[3],0.145,0.256,-0.33,0.617,0.003,0.004,9437.0,4640.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[4],0.145,0.166,-0.169,0.446,0.002,0.002,8521.0,3883.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[5],0.389,0.318,-0.197,0.996,0.004,0.004,7619.0,4774.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[6],-0.09,0.09,-0.264,0.071,0.001,0.001,6983.0,5045.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[7],-0.25,0.174,-0.588,0.066,0.002,0.002,7916.0,4688.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[8],0.388,0.195,0.035,0.763,0.002,0.002,8681.0,4870.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[9],-0.13,0.185,-0.492,0.207,0.002,0.003,9510.0,4148.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[10],-0.017,0.11,-0.222,0.193,0.001,0.001,8138.0,5137.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[11],-0.88,0.194,-1.248,-0.518,0.002,0.002,7840.0,4526.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[12],0.128,0.247,-0.318,0.619,0.003,0.003,7615.0,4875.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[13],-0.018,0.173,-0.336,0.315,0.002,0.002,6827.0,5263.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[14],1.304,0.121,1.08,1.53,0.001,0.001,7120.0,5601.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[15],0.891,0.214,0.501,1.296,0.002,0.003,8356.0,5098.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[16],0.448,0.205,0.073,0.842,0.002,0.003,9164.0,4516.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[17],-0.184,0.089,-0.349,-0.013,0.001,0.001,6934.0,5270.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[18],-0.289,0.178,-0.624,0.047,0.002,0.002,9260.0,4403.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[19],0.688,0.21,0.306,1.094,0.002,0.003,9150.0,4371.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[20],0.437,0.15,0.155,0.72,0.002,0.002,8688.0,4449.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[21],-0.291,0.112,-0.505,-0.088,0.001,0.001,8787.0,5166.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[22],-0.665,0.172,-0.969,-0.317,0.002,0.002,9253.0,4527.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[23],-0.318,0.205,-0.7,0.067,0.002,0.003,9194.0,4062.0,1.0,lh_G_and_S_frontomargin
site_offset_intercept_mu[24],-0.463,0.209,-0.855,-0.063,0.002,0.002,7747.0,5529.0,1.0,lh_G_and_S_frontomargin
sex_offset_intercept_mu[0],-0.008,0.03,-0.065,0.047,0.0,0.0,7482.0,5491.0,1.0,lh_G_and_S_frontomargin
sex_offset_intercept_mu[1],0.008,0.03,-0.047,0.065,0.0,0.0,7482.0,5491.0,1.0,lh_G_and_S_frontomargin
